speed,lat,lon,time
1.44,45.1791377035136,-1.08586725788991,2015-11-20 12:45:07
1.41,45.1791304112579,-1.08588251295368,2015-11-20 12:45:08
1.359,45.1791239571924,-1.08589701364617,2015-11-20 12:45:09
1.46,45.1791172516699,-1.08591252016704,2015-11-20 12:45:10
1.39,45.1791103785093,-1.08592836196403,2015-11-20 12:45:11
1.319,45.1791056846435,-1.08594487431328,2015-11-20 12:45:12
1.58,45.17910425972,-1.08596205721479,2015-11-20 12:45:13
1.24,45.1791036729868,-1.08597999448757,2015-11-20 12:45:14
1.189,45.1791031700726,-1.08599550100844,2015-11-20 12:45:15
1.14,45.179101577511,-1.08601125898641,2015-11-20 12:45:16
1.129,45.1790993982161,-1.08602643023115,2015-11-20 12:45:17
0.98,45.1790979732926,-1.08604126619976,2015-11-20 12:45:18
1.029,45.1790973027404,-1.08605509634,2015-11-20 12:45:19
1.16,45.1790970512833,-1.0860690941183,2015-11-20 12:45:20
1.169,45.1790978056545,-1.08608401390594,2015-11-20 12:45:21
1.22,45.1791004878636,-1.08609792786521,2015-11-20 12:45:22
1.16,45.1791033377106,-1.08611167418641,2015-11-20 12:45:23
1.069,45.1791056008245,-1.08612575578374,2015-11-20 12:45:24
1.129,45.17910685811,-1.08614050793332,2015-11-20 12:45:25
1.169,45.1791075286622,-1.08615475716872,2015-11-20 12:45:26
1.279,45.1791079477574,-1.0861695093183,2015-11-20 12:45:27
1.399,45.1791083668525,-1.08618635694368,2015-11-20 12:45:28
1.44,45.1791108814235,-1.08620370748324,2015-11-20 12:45:29
1.339,45.1791156591083,-1.08621963309927,2015-11-20 12:45:30
1.39,45.1791212749834,-1.08623505580111,2015-11-20 12:45:31
1.429,45.179125465935,-1.08625307689293,2015-11-20 12:45:32
1.37,45.1791284834202,-1.08627109798475,2015-11-20 12:45:33
1.469,45.1791302436198,-1.08629029254301,2015-11-20 12:45:34
1.379,45.1791326743717,-1.08630873272999,2015-11-20 12:45:35
1.33,45.1791351889427,-1.08632658618375,2015-11-20 12:45:36
1.299,45.1791375358756,-1.08634318235203,2015-11-20 12:45:37
1.33,45.1791397989894,-1.0863602814345,2015-11-20 12:45:38
1.299,45.1791432355697,-1.08637721287891,2015-11-20 12:45:39
1.24,45.17914927054,-1.0863914621143,2015-11-20 12:45:40
1.22,45.1791567304338,-1.08639967637941,2015-11-20 12:45:41
1.2,45.1791615081187,-1.0864141770719,2015-11-20 12:45:42
1.12,45.1791656990702,-1.08642758811698,2015-11-20 12:45:43
1.25,45.1791696385647,-1.08644141825721,2015-11-20 12:45:44
1.14,45.1791722369547,-1.08645625422583,2015-11-20 12:45:45
1.169,45.1791736618783,-1.08647050346122,2015-11-20 12:45:46
1.33,45.1791751706208,-1.08648517179177,2015-11-20 12:45:47
0.75,45.1791784395631,-1.08649682263718,2015-11-20 12:45:48
0.8,45.1791843068953,-1.08650017539845,2015-11-20 12:45:49
0.61,45.1791895874943,-1.08650369579778,2015-11-20 12:45:50
0.809,45.1791942813601,-1.08651023368226,2015-11-20 12:45:51
1.059,45.1792009868826,-1.08651601719544,2015-11-20 12:45:52
1.009,45.1792083629574,-1.08652305799411,2015-11-20 12:45:53
1.12,45.1792154875751,-1.08653185899244,2015-11-20 12:45:54
1.14,45.179223282745,-1.08654107908593,2015-11-20 12:45:55
1.16,45.179231161734,-1.08655063445555,2015-11-20 12:45:56
1.09,45.1792393759991,-1.08655809434937,2015-11-20 12:45:57
1.299,45.17924968574,-1.0865632073103,2015-11-20 12:45:58
1.379,45.1792620071377,-1.0865634587674,2015-11-20 12:45:59
1.449,45.1792746638115,-1.08655893253969,2015-11-20 12:46:00
1.48,45.1792881586756,-1.08655256229328,2015-11-20 12:46:01
1.469,45.1793016535397,-1.08654736551331,2015-11-20 12:46:02
1.37,45.1793151484038,-1.08654359365688,2015-11-20 12:46:03
1.24,45.1793263801541,-1.08654082762883,2015-11-20 12:46:04
1.35,45.1793389530088,-1.0865388997911,2015-11-20 12:46:05
1.359,45.1793529507871,-1.08653680431531,2015-11-20 12:46:06
1.359,45.179365775099,-1.08653345155404,2015-11-20 12:46:07
1.379,45.179379186144,-1.08653219426857,2015-11-20 12:46:08
1.31,45.1793931001033,-1.08653328391598,2015-11-20 12:46:09
1.399,45.1794062596913,-1.08653529557274,2015-11-20 12:46:10
1.29,45.1794185810889,-1.08653831305788,2015-11-20 12:46:11
1.37,45.1794314054008,-1.08654166581915,2015-11-20 12:46:12
1.29,45.1794443973507,-1.08654367747591,2015-11-20 12:46:13
1.319,45.1794568025674,-1.08654527003752,2015-11-20 12:46:14
1.12,45.1794684534128,-1.08654937717007,2015-11-20 12:46:15
0.56,45.1794765838589,-1.08655323284553,2015-11-20 12:46:16
0.05,45.1794784278776,-1.0865549930452,2015-11-20 12:46:17
0.529,45.179479601344,-1.08655893253969,2015-11-20 12:46:18
0.59,45.1794828702863,-1.08656538660513,2015-11-20 12:46:19
0.869,45.1794832893814,-1.08657360087024,2015-11-20 12:46:20
1.1,45.1794782602395,-1.0865843297063,2015-11-20 12:46:21
1.069,45.1794739854689,-1.08659673492299,2015-11-20 12:46:22
0.829,45.1794709679838,-1.08660830194937,2015-11-20 12:46:23
0.75,45.1794687048699,-1.08661810877608,2015-11-20 12:46:24
0.62,45.1794682857748,-1.08662640686022,2015-11-20 12:46:25
0.849,45.1794649330135,-1.0866517202078,2015-11-20 12:46:28
0.809,45.1794623346235,-1.08667359697508,2015-11-20 12:46:30
0.679,45.179461077338,-1.08668357143986,2015-11-20 12:46:31
0.829,45.1794604067858,-1.08669388118076,2015-11-20 12:46:32
0.77,45.1794591495003,-1.08670452619779,2015-11-20 12:46:33
0.78,45.1794566349294,-1.08671450066256,2015-11-20 12:46:34
0.709,45.1794548747297,-1.08672422367024,2015-11-20 12:46:35
0.679,45.1794539527203,-1.0867336114018,2015-11-20 12:46:36
0.93,45.179450432321,-1.0867439211427,2015-11-20 12:46:37
0.72,45.1794466604646,-1.0867542308836,2015-11-20 12:46:38
0.73,45.1794444811698,-1.08676319952,2015-11-20 12:46:39
0.689,45.1794419665988,-1.08677216815639,2015-11-20 12:46:40
0.8,45.1794390329327,-1.08678155588794,2015-11-20 12:46:41
0.8,45.1794367698188,-1.08679203326691,2015-11-20 12:46:42
0.8,45.179434506705,-1.08680225918878,2015-11-20 12:46:43
0.889,45.1794302319344,-1.08681139546324,2015-11-20 12:46:44
0.8,45.1794249513354,-1.08681960972835,2015-11-20 12:46:45
0.699,45.1794198383744,-1.0868253094225,2015-11-20 12:46:46
0.809,45.1794156474228,-1.08683335604955,2015-11-20 12:46:47
1.069,45.1794103668238,-1.08684341433336,2015-11-20 12:46:48
0.839,45.1794050862248,-1.08685397553135,2015-11-20 12:46:49
0.78,45.1794004761781,-1.08686311180581,2015-11-20 12:46:50
0.859,45.1793952793981,-1.08687132607092,2015-11-20 12:46:51
0.809,45.1793907531704,-1.08688037852634,2015-11-20 12:46:52
0.76,45.1793879033233,-1.08688993389596,2015-11-20 12:46:53
0.709,45.1793848858382,-1.0868984834372,2015-11-20 12:46:54
0.809,45.1793810301627,-1.08690661388327,2015-11-20 12:46:55
0.839,45.179376336297,-1.08691499578645,2015-11-20 12:46:56
0.94,45.1793713071551,-1.08692421587994,2015-11-20 12:46:57
0.8,45.1793663618322,-1.0869331006973,2015-11-20 12:46:58
0.669,45.1793623385187,-1.08694081204822,2015-11-20 12:46:59
0.879,45.1793573093768,-1.08694810430398,2015-11-20 12:47:00
0.829,45.1793516096826,-1.0869558156549,2015-11-20 12:47:01
0.94,45.1793454908933,-1.08696310791066,2015-11-20 12:47:02
0.79,45.1793399588372,-1.08697065162351,2015-11-20 12:47:03
0.819,45.1793361869808,-1.08697903352668,2015-11-20 12:47:04
0.689,45.1793318283911,-1.08698657723954,2015-11-20 12:47:05
0.59,45.1793268830682,-1.08699118728628,2015-11-20 12:47:06
0.76,45.1793219377454,-1.08699688698044,2015-11-20 12:47:07
0.519,45.1793181658889,-1.08700325722685,2015-11-20 12:47:08
0.39,45.1793165733273,-1.08700895692101,2015-11-20 12:47:09
0.6,45.1793145616706,-1.08701490807226,2015-11-20 12:47:10
0.31,45.1793112927283,-1.08701691972902,2015-11-20 12:47:11
0.62,45.1793074370529,-1.08701909902385,2015-11-20 12:47:12
0.659,45.1793029946442,-1.08702446344188,2015-11-20 12:47:13
0.869,45.1792996418829,-1.08703276152602,2015-11-20 12:47:14
0.689,45.1792972949501,-1.08704189780048,2015-11-20 12:47:15
0.78,45.1792948641981,-1.08705103407493,2015-11-20 12:47:16
0.689,45.1792928525414,-1.08706000271133,2015-11-20 12:47:17
0.679,45.1792910085227,-1.08706830079547,2015-11-20 12:47:18
0.709,45.1792874881233,-1.08707617978445,2015-11-20 12:47:19
0.849,45.1792822913434,-1.08708271766892,2015-11-20 12:47:20
0.639,45.1792771783824,-1.08708841736308,2015-11-20 12:47:21
0.78,45.1792729036118,-1.08709579343787,2015-11-20 12:47:22
0.889,45.1792675391938,-1.08710417534105,2015-11-20 12:47:23
0.809,45.1792618394996,-1.08711272488228,2015-11-20 12:47:24
0.849,45.1792563074435,-1.08712077150933,2015-11-20 12:47:25
0.829,45.1792509430255,-1.0871289019554,2015-11-20 12:47:26
0.639,45.1792456624265,-1.0871341825544,2015-11-20 12:47:27
0.75,45.1792395436372,-1.08713720003954,2015-11-20 12:47:28
0.679,45.1792341792192,-1.08714222918145,2015-11-20 12:47:29
0.94,45.1792300720866,-1.08715111399881,2015-11-20 12:47:30
0.92,45.1792273060586,-1.08716167519681,2015-11-20 12:47:31
0.429,45.1792261325921,-1.08716972182385,2015-11-20 12:47:32
0.219,45.1792237018402,-1.08717315840415,2015-11-20 12:47:33
0.849,45.1792190079744,-1.08717609207026,2015-11-20 12:47:34
0.9,45.1792129730041,-1.08718187558345,2015-11-20 12:47:35
0.77,45.179210039338,-1.08719117949597,2015-11-20 12:47:36
0.8,45.1792105422522,-1.08720115396075,2015-11-20 12:47:37
0.699,45.1792102907951,-1.08721163133971,2015-11-20 12:47:38
0.94,45.1792092011477,-1.08722286308997,2015-11-20 12:47:39
0.819,45.1792089496906,-1.08723367574506,2015-11-20 12:47:40
0.98,45.179207440948,-1.08724582950466,2015-11-20 12:47:41
0.9,45.1792042558248,-1.087257312712,2015-11-20 12:47:42
